asset,leverage,direction,size,notional_value,entry_price,mark_price,pnl,liq_price,margin,funding
BTC,50,SHORT,4.66129 BTC,"$486,363.66","103,417","104,341","-$4,308.67 (-44.7%)","321,207","$9,727.27 (Cross)",$115.26
SOL,20,SHORT,"1,550.96 SOL","$396,146.20",242.66,255.42,"-$19,786.61 (-105.1%)",897.66,"$19,807.31 (Cross)",$222.33
ETH,50,SHORT,73.1389 ETH,"$240,502.64","3,397.5","3,288.3","+$7,988.57 (+160.7%)","17,110","$4,810.05 (Cross)",$44.27
TRUMP,10,SHORT,"2,489.2 TRUMP","$67,529.51",29.109,27.129,"+$4,929.56 (+68.0%)",417.76,"$6,752.95 (Cross)",$238.55
DOGE,20,SHORT,"165,089 DOGE","$65,145.77",0.43253,0.39461,"-$6,260.45 (-175.3%)",N/A,"$3,257.29 (Cross)",-$25.59
ONDO,10,SHORT,"42,158 ONDO","$51,892.28",1.1835,1.2309,"-$2,000.00 (-40.1%)",24.296,"$5,189.23 (Cross)",-$44.50
TRX,10,SHORT,"195,186 TRX","$47,108.14",0.26226,0.24135,"-$4,080.59 (-79.7%)",N/A,"$4,710.81 (Cross)",-$26.89
FARTCOIN,3,SHORT,"15,034.2 FARTCOIN","$26,015.18",1.2969,1.7304,"+$6,517.07 (+100.3%)",N/A,"$8,671.73 (Cross)",-$74.02
POPCAT,5,SHORT,"33,349 POPCAT","$20,102.78",0.74334,0.60280,"-$4,686.90 (-94.5%)",N/A,"$4,020.56 (Cross)",-$12.24
WIF,5,SHORT,"10,145 WIF","$17,859.26",1.9726,1.7604,"-$2,153.11 (-53.8%)",N/A,"$3,571.85 (Cross)",-$6.42
kBONK,10,SHORT,"437,483 kBONK","$14,698.99",0.034351,0.033599,-$329.40 (-21.9%),N/A,"$1,469.90 (Cross)",-$6.12
MEW,5,SHORT,"2,254,283 MEW","$14,030.66",0.006629,0.006224,-$913.20 (-30.6%),N/A,"$2,806.13 (Cross)",-$3.88
kFLOKI,5,SHORT,"79,051 kFLOKI","$13,237.88",0.19006,0.16746,"-$1,786.34 (-59.4%)",N/A,"$2,647.58 (Cross)",-$3.69
kPEPE,20,SHORT,"713,165 kPEPE","$13,017.40",0.020903,0.018253,"-$1,889.92 (-253.6%)",N/A,$650.87 (Cross),-$5.21
MOODENG,5,SHORT,"73,010 MOODENG","$12,754.85",0.20497,0.17470,"-$2,209.82 (-73.8%)",N/A,"$2,550.97 (Cross)",-$3.55
GOAT,5,SHORT,"36,985 GOAT","$11,231.97",0.40501,0.30369,"-$3,747.33 (-125.1%)",N/A,"$2,246.39 (Cross)",-$3.59
CHILLGUY,3,SHORT,"109,257 CHILLGUY","$10,374.06",0.13717,0.094951,"-$4,612.22 (-92.3%)",N/A,"$3,458.02 (Cross)",-$7.37
